event_date,event_name,event_location,r_fighter,b_fighter,weight_class,gender,total_rounds,is_title_bout,referee,winner,method,finish_round,time_sec,total_fight_time_sec,r_height,b_height,height_diff,r_reach,b_reach,reach_diff,r_ape_index,b_ape_index,ape_index_diff,r_stance,b_stance,r_weight,b_weight,weight_diff,r_date_of_birth,b_date_of_birth,r_age_at_event,b_age_at_event,age_at_event_diff,r_current_age,b_current_age,current_age_diff,r_wins,b_wins,wins_diff,r_losses,b_losses,losses_diff,r_draws,b_draws,draws_diff,r_win_loss_ratio,b_win_loss_ratio,win_loss_ratio_diff,r_sig_str,b_sig_str,sig_str_diff,r_sig_str_att,b_sig_str_att,sig_str_att_diff,r_sig_str_acc,b_sig_str_acc,sig_str_acc_diff,r_str,b_str,str_diff,r_str_att,b_str_att,str_att_diff,r_str_acc,b_str_acc,str_acc_diff,r_kd,b_kd,kd_diff,r_head,b_head,head_diff,r_body,b_body,body_diff,r_leg,b_leg,leg_diff,r_distance,b_distance,distance_diff,r_clinch,b_clinch,clinch_diff,r_ground,b_ground,ground_diff,r_td,b_td,td_diff,r_td_att,b_td_att,td_att_diff,r_td_acc,b_td_acc,td_acc_diff,r_sub_att,b_sub_att,sub_att_diff,r_rev,b_rev,rev_diff,r_ctrl_sec,b_ctrl_sec,ctrl_sec_diff,r_pro_SLpM,b_pro_SLpM,pro_SLpM_diff,r_pro_sig_str_acc,b_pro_sig_str_acc,pro_sig_str_acc_diff,r_pro_SApM,b_pro_SApM,pro_SApM_diff,r_pro_str_def,b_pro_str_def,pro_str_def_diff,r_pro_td_avg,b_pro_td_avg,pro_td_avg_diff,r_pro_td_acc,b_pro_td_acc,pro_td_acc_diff,r_pro_td_def,b_pro_td_def,pro_td_def_diff,r_pro_sub_avg,b_pro_sub_avg,pro_sub_avg_diff,r_name,b_name
1/15/2014,UFC Fight Night: Rockhold vs Philippou,"Duluth, Georgia, USA",Luke Rockhold,Constantinos Philippou,Middleweight,Men,5,0,Herb Dean,Red,KO/TKO,1,151,151,75,71,4,77,73,4,1.03,1.03,0,Southpaw,Orthodox,185,185,0,10/17/1984,11/29/1979,29,34,-5,40,45,-5,16,13,3,6,5,1,0,0,0,2.67,2.6,0.07,12,4,8,19,19,0,0.63,0.21,0.42,12,4,8,19,19,0,0.63,0.21,0.42,1,0,1,0.33,0.25,0.08,0.58,0.25,0.33,0.08,0.5,-0.42,0.66,0.75,-0.09,0.25,0.25,0,0.08,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,4.1,2.19,1.91,0.49,0.35,0.14,2.68,2.73,-0.05,0.53,0.54,-0.01,0.7,0.4,0.3,0.29,0.42,-0.13,0.65,0.65,0,1,0.3,0.7,Luke Rockhold,Constantinos Philippou
1/15/2014,UFC Fight Night: Rockhold vs Philippou,"Duluth, Georgia, USA",Lorenz Larkin,Brad Tavares,Middleweight,Men,3,0,Herb Dean,Blue,Decision,3,300,900,71,73,-2,72,74,-2,1.01,1.01,0,Orthodox,Orthodox,170,185,-15,9/3/1986,12/21/1987,27,26,1,38,37,1,18,21,-3,6,11,-5,0,0,0,3,1.91,1.09,39,45,-6,113,112,1,0.35,0.4,-0.05,43,62,-19,117,132,-15,0.37,0.47,-0.1,0,0,0,0.71,0.42,0.29,0.02,0.24,-0.22,0.25,0.33,-0.08,0.53,0.97,-0.44,0.46,0.02,0.44,0,0,0,0,2,-2,0,9,-9,0,0.22,-0.22,0,0,0,1,0,1,42,191,-149,3.53,3.42,0.11,0.46,0.43,0.03,2.74,3.28,-0.54,0.63,0.55,0.08,0.27,0.71,-0.44,0.42,0.26,0.16,0.79,0.81,-0.02,0.1,0,0.1,Lorenz Larkin,Brad Tavares
1/15/2014,UFC Fight Night: Rockhold vs Philippou,"Duluth, Georgia, USA",TJ Dillashaw,Mike Easton,Bantamweight,Men,3,0,Dan Miragliotta,Red,Decision,3,300,900,66,66,0,67,70,-3,1.02,1.06,-0.05,Orthodox,Southpaw,135,135,0,2/7/1986,1/25/1984,27,29,-2,39,41,-2,18,13,5,5,6,-1,0,0,0,3.6,2.17,1.43,117,46,71,232,111,121,0.5,0.41,0.09,138,51,87,257,116,141,0.54,0.44,0.1,0,0,0,0.59,0.3,0.29,0.17,0.3,-0.13,0.23,0.39,-0.16,0.63,0.76,-0.13,0.28,0.23,0.05,0.08,0,0.08,2,0,2,5,2,3,0.4,0,0.4,0,0,0,0,0,0,297,0,297,5.09,3.51,1.58,0.41,0.37,0.04,3.47,4.28,-0.81,0.62,0.61,0.01,1.56,0.75,0.81,0.3,0.22,0.08,0.77,0.66,0.11,0.8,0,0.8,TJ Dillashaw,Mike Easton
1/15/2014,UFC Fight Night: Rockhold vs Philippou,"Duluth, Georgia, USA",Yoel Romero,Derek Brunson,Middleweight,Men,3,0,Blake Grice,Red,KO/TKO,3,203,803,72,73,-1,73,77,-4,1.01,1.05,-0.04,Southpaw,Southpaw,185,185,0,4/30/1977,1/4/1984,36,30,6,48,41,7,13,23,-10,5,9,-4,0,0,0,2.6,2.56,0.04,60,38,22,94,94,0,0.64,0.4,0.24,87,56,31,122,112,10,0.71,0.5,0.21,0,0,0,0.45,0.52,-0.07,0.41,0.02,0.39,0.13,0.44,-0.31,0.51,0.92,-0.41,0.1,0.02,0.08,0.38,0.05,0.33,0,3,-3,4,5,-1,0,0.6,-0.6,0,0,0,0,0,0,53,176,-123,3.44,3.51,-0.07,0.49,0.47,0.02,3.05,3.05,0,0.6,0.51,0.09,1.57,3.14,-1.57,0.3,0.33,-0.03,0.78,0.85,-0.07,0,0.6,-0.6,Yoel Romero,Derek Brunson
1/15/2014,UFC Fight Night: Rockhold vs Philippou,"Duluth, Georgia, USA",John Moraga,Dustin Ortiz,Flyweight,Men,3,0,Dan Miragliotta,Red,Decision,3,300,900,66,65,1,66,65,1,1,1,0,Orthodox,Orthodox,125,125,0,3/20/1984,12/25/1988,29,25,4,41,36,5,19,19,0,7,8,-1,0,0,0,2.71,2.38,0.34,43,35,8,95,83,12,0.45,0.42,0.03,75,60,15,130,113,17,0.58,0.53,0.05,0,0,0,0.58,0.62,-0.04,0.18,0.11,0.07,0.23,0.25,-0.02,0.44,0.34,0.1,0.23,0.34,-0.11,0.32,0.31,0.01,0,2,-2,2,10,-8,0,0.2,-0.2,1,0,1,0,0,0,108,430,-322,2.57,2.94,-0.37,0.43,0.44,-0.01,2.55,2.17,0.38,0.56,0.56,0,0.62,3.01,-2.39,0.23,0.36,-0.13,0.44,0.52,-0.08,1.1,0.1,1,John Moraga,Dustin Ortiz
1/15/2014,UFC Fight Night: Rockhold vs Philippou,"Duluth, Georgia, USA",Cole Miller,Sam Sicilia,Featherweight,Men,3,0,Herb Dean,Red,Submission,2,114,414,73,68,5,73,67,6,1,0.99,0.01,Orthodox,Orthodox,145,145,0,4/26/1984,2/1/1986,29,27,2,41,39,2,21,15,6,11,8,3,0,0,0,1.91,1.88,0.03,38,14,24,91,56,35,0.42,0.25,0.17,38,14,24,91,56,35,0.42,0.25,0.17,1,0,1,0.71,0.35,0.36,0.1,0.35,-0.25,0.18,0.28,-0.1,0.97,1,-0.03,0,0,0,0.02,0,0.02,0,0,0,0,2,-2,0,0,0,1,0,1,0,0,0,25,0,25,3,2.46,0.54,0.33,0.33,0,3.88,3.55,0.33,0.59,0.59,0,0.6,1.45,-0.85,0.36,0.43,-0.07,0.38,0.7,-0.32,1.8,0.9,0.9,Cole Miller,Sam Sicilia
1/15/2014,UFC Fight Night: Rockhold vs Philippou,"Duluth, Georgia, USA",Ramsey Nijem,Justin Edwards,Lightweight,Men,3,0,George Allen,Red,Decision,3,300,900,71,70,1,75,70,5,1.06,1,0.06,Orthodox,Orthodox,155,155,0,4/1/1988,1/26/1983,25,30,-5,37,42,-5,9,9,0,6,5,1,0,0,0,1.5,1.8,-0.3,46,25,21,113,76,37,0.41,0.33,0.08,75,26,49,148,77,71,0.51,0.34,0.17,0,0,0,0.78,0.8,-0.02,0.13,0.12,0.01,0.08,0.08,0,0.63,0.6,0.03,0.19,0.32,-0.13,0.17,0.08,0.09,5,0,5,7,0,7,0.71,0,0.71,1,1,0,0,0,0,285,6,279,3.05,2.68,0.37,0.44,0.42,0.02,1.62,3.32,-1.7,0.62,0.51,0.11,5.32,2.14,3.18,0.62,0.26,0.36,0.55,0.27,0.28,1.1,1,0.1,Ramsey Nijem,Justin Edwards
1/15/2014,UFC Fight Night: Rockhold vs Philippou,"Duluth, Georgia, USA",Isaac Vallie-Flagg,Elias Silverio,Lightweight,Men,3,0,Blake Grice,Blue,Decision,3,300,900,68,71,-3,70,73,-3,1.03,1.03,0,Orthodox,Orthodox,155,155,0,4/8/1978,9/22/1986,35,27,8,47,38,9,16,13,3,7,3,4,1,0,1,2.29,4.33,-2.05,21,81,-60,59,133,-74,0.36,0.61,-0.25,37,136,-99,75,199,-124,0.49,0.68,-0.19,0,1,-1,0.61,0.64,-0.03,0.09,0.25,-0.16,0.28,0.09,0.19,0.66,0.48,0.18,0.28,0.25,0.03,0.04,0.25,-0.21,0,4,-4,1,4,-3,0,1,-1,0,0,0,0,0,0,0,679,-679,5.56,3.67,1.89,0.47,0.49,-0.02,5.6,2.97,2.63,0.45,0.51,-0.06,0.2,1.62,-1.42,0.12,0.38,-0.26,0.58,0.85,-0.27,0,0.2,-0.2,Isaac Vallie-Flagg,Elias Silverio
1/15/2014,UFC Fight Night: Rockhold vs Philippou,"Duluth, Georgia, USA",Trevor Smith,Brian Houston,Middleweight,Men,3,0,Blake Grice,Red,Decision,3,300,900,75,74,1,75,,,1,,,Orthodox,Orthodox,185,185,0,1/5/1981,4/26/1981,33,32,1,44,44,0,15,4,11,10,6,4,0,0,0,1.5,0.67,0.83,57,30,27,122,83,39,0.47,0.36,0.11,61,34,27,126,87,39,0.48,0.39,0.09,0,0,0,0.47,0.66,-0.19,0.19,0.1,0.09,0.33,0.23,0.1,0.73,0.8,-0.07,0.15,0.2,-0.05,0.1,0,0.1,1,1,0,8,1,7,0.12,1,-0.88,1,0,1,0,0,0,92,89,3,3.29,1.9,1.39,0.55,0.35,0.2,3.31,3.67,-0.36,0.51,0.53,-0.02,1.7,0.95,0.75,0.32,1,-0.68,0.6,0.87,-0.27,0.7,0,0.7,Trevor Smith,Brian Houston
1/15/2014,UFC Fight Night: Rockhold vs Philippou,"Duluth, Georgia, USA",Alptekin Ozkilic,Louis Smolka,Flyweight,Men,3,0,Herb Dean,Blue,Decision,3,300,900,65,69,-4,65,68,-3,1,0.99,0.01,Orthodox,Orthodox,125,135,-10,3/27/1986,7/16/1991,27,22,5,39,34,5,9,17,-8,5,9,-4,0,0,0,1.8,1.89,-0.09,60,92,-32,193,245,-52,0.31,0.38,-0.07,63,96,-33,196,249,-53,0.32,0.39,-0.07,0,0,0,0.73,0.76,-0.03,0.25,0.2,0.05,0.01,0.03,-0.02,0.68,0.54,0.14,0.26,0.26,0,0.05,0.19,-0.14,9,0,9,14,1,13,0.64,0,0.64,0,1,-1,0,1,-1,215,101,114,3.81,4.67,-0.86,0.32,0.47,-0.15,5.72,4.11,1.61,0.59,0.53,0.06,4.21,1.69,2.52,0.58,0.35,0.23,0.75,0.32,0.43,0,1.8,-1.8,Alptekin Ozkilic,Louis Smolka
